Emanuella,Fialho,1990-05-12 00:00:00,Brasília,Tênis,43,200,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Elizeu,Barros,1985-07-19,Fortaleza,Vestido,55,300,1.0,Izabel,Milagre,Rio de Janeiro,Camiseta,85.0,1985-01-01
Eduarda,Figueiredo,1985-12-26,Salvador,Casaco,89,190,2.0,Joyce,Ribas,Curitiba,Bermuda,150.0,1994-01-01
Tayna,Coimbra,1992-01-10,Rio de Janeiro,Pulseira,82,30,3.0,Eduarda,Figueiredo,São Paulo,Casaco,190.0,
Elizeu,Barros,1992-03-26,Porto Alegre,Bermuda,41,150,4.0,Tayna,Coimbra,Brasília,Jaqueta,250.0,
Izabel,Milagre,1988-05-17,São Paulo,Sapato,143,230,5.0,Patricia,Camara,Fortaleza,Saia,75.0,
Patricia,Camara,1987-08-22,Porto Alegre,Jaqueta,83,250,6.0,Elizeu,Barros,Porto Alegre,Short,55.0,
Izabel,Milagre,1988-08-01,Salvador,Vestido,74,300,7.0,Jucelia,Bailly,Salvador,Tênis,200.0,
Juliane,Felipi,1990-11-17,Porto Alegre,Tênis,38,200,8.0,Paloma,Farias,,Sapato,230.0,
Breno,Amaral,1986-06-30,São Paulo,Casaco,113,190,9.0,Emanuella,Fialho,,Sandália,110.0,
Jucelia,Bailly,1987-10-26,Brasília,Tênis,140,200,10.0,Maryanna,Correa,,Chinelo,25.0,
Breno,Amaral,1987-05-30,São Paulo,Sandália,21,110,11.0,Juliane,Felipi,,Pulseira,30.0,
Maryanna,Correa,1987-11-05,Curitiba,Chinelo,104,25,12.0,Andrew,Carvalhal,,Vestido,300.0,
Tayna,Coimbra,1988-02-19,São Paulo,Bermuda,53,150,13.0,Iago,Bensdorp,,,,
Breno,Amaral,1992-04-19,Rio de Janeiro,Saia,87,75,14.0,Breno,Amaral,,,,
Juliane,Felipi,1992-12-02,São Paulo,Sapato,142,230,15.0,Natália,Huon,,,,
Juliane,Felipi,1990-02-03,Brasília,Saia,106,75,,,,,,,
Maryanna,Correa,1989-10-15,São Paulo,Camiseta,103,85,,,,,,,
Andrew,Carvalhal,1987-03-13,Curitiba,Bermuda,28,150,,,,,,,
Emanuella,Fialho,1987-06-24,São Paulo,Sapato,40,230,,,,,,,
Iago,Bensdorp,1987-05-25,Fortaleza,Short,120,55,,,,,,,
Izabel,Milagre,1991-03-21,Salvador,Jaqueta,51,250,,,,,,,
Elizeu,Barros,1986-09-03,Rio de Janeiro,Bermuda,106,150,,,,,,,
Jucelia,Bailly,1988-03-12,Curitiba,Saia,45,75,,,,,,,
Patricia,Camara,1989-12-18,Rio de Janeiro,Jaqueta,140,250,,,,,,,
Tayna,Coimbra,1993-01-24,Salvador,Tênis,56,200,,,,,,,
Tayna,Coimbra,1985-02-22,Brasília,Pulseira,43,30,,,,,,,
Eduarda,Figueiredo,1986-05-30,Curitiba,Tênis,118,200,,,,,,,
Joyce,Ribas,1992-06-07,Rio de Janeiro,Camiseta,141,85,,,,,,,
Juliane,Felipi,1988-02-12,Rio de Janeiro,Sandália,93,110,,,,,,,
Breno,Amaral,1992-01-04,Rio de Janeiro,Pulseira,111,30,,,,,,,
Maryanna,Correa,1992-04-28,Brasília,Short,58,55,,,,,,,
Juliane,Felipi,1986-10-02,São Paulo,Camiseta,103,85,,,,,,,
Eduarda,Figueiredo,1985-11-24,Curitiba,Camiseta,64,85,,,,,,,
Iago,Bensdorp,1992-05-27,Porto Alegre,Camiseta,81,85,,,,,,,
Elizeu,Barros,1987-08-04,Brasília,Jaqueta,61,250,,,,,,,
Paloma,Farias,1988-04-18,Brasília,Camiseta,13,85,,,,,,,
Izabel,Milagre,1988-07-17,Curitiba,Jaqueta,102,250,,,,,,,
Jucelia,Bailly,1991-11-22,Brasília,Jaqueta,56,250,,,,,,,
Eduarda,Figueiredo,1987-03-15,São Paulo,Jaqueta,53,250,,,,,,,
Maryanna,Correa,1988-03-26,Salvador,Camiseta,148,85,,,,,,,
Tayna,Coimbra,1992-04-10,Brasília,Bermuda,65,150,,,,,,,
Tayna,Coimbra,1985-02-22,Rio de Janeiro,Sapato,32,230,,,,,,,
Jucelia,Bailly,1986-09-07,Salvador,Casaco,109,190,,,,,,,
Patricia,Camara,1986-07-02,Salvador,Short,87,55,,,,,,,
Paloma,Farias,1989-06-27,Brasília,Sapato,99,230,,,,,,,
Tayna,Coimbra,1991-04-30,Fortaleza,Jaqueta,30,250,,,,,,,
Natália,Huon,1991-12-02,Curitiba,Tênis,113,200,,,,,,,
Iago,Bensdorp,1988-03-26,Salvador,Camiseta,31,85,,,,,,,
Breno,Amaral,1989-02-09,Curitiba,Casaco,110,190,,,,,,,
